#NAME?,n Time------,#NAME?,---Lat--,#NAME?,r---Long-,#NAME?,---Dep--,DepEr,r-Mag----,-----Region----Flag--------------------
18/01/2020,15:14:53.81,0.07,41.067,0.11,139.28,0.34,19.4,1.3,1.4V,W OFF AOMORI PREF  k
18/01/2020,15:16:03.29,0.11,34.696,0.36,138.667,0.26,15,1.2,0.9V,SOUTHERN SURUGA BAY REG  A
18/01/2020,15:18:44.95,0.33,34.838,0.93,140.692,1.14,63.3,3,1.4V,SE OFF BOSO PENINSULA  k
18/01/2020,15:22:12.37,0.13,24.288,2.52,122.849,0.58,54.8,2.4,1.5v,NW OFF ISHIGAKIJIMA IS  k
18/01/2020,15:29:07.99,0.08,34.107,0.12,135.942,0.19,23.7,0.7,0.1V,SOUTHERN NARA PREF  k
18/01/2020,15:35:52.19,0.04,34.197,0.11,132.689,0.12,11.2,0.6,0.4V,AKINADA SETONAIKAI  k
18/01/2020,15:37:50.71,0.1,37.736,0.27,141.022,0.65,74.2,0.8,1.2V,E OFF FUKUSHIMA PREF  A
18/01/2020,15:41:24.97,0.15,38.426,0.41,142.154,0.76,26.3,2.1,2.1V,E OFF MIYAGI PREF  K
18/01/2020,15:43:09.35,0.1,38.264,0.32,141.685,0.52,50.3,0.7,1.6V,KINKAZAN REGION  A
18/01/2020,15:45:16.40,0.03,34.079,0.15,135.394,0.18,4.6,1.2,0.5V,NE WAKAYAMA PREF  k
18/01/2020,15:47:17.87,0.26,41.399,0.8,143.01,1.44,19.6,3.5,2.8V,E OFF AOMORI PREF  K
18/01/2020,15:52:47.78,0.09,35.999,0.28,140.082,0.34,61.3,0.7,1.5V,SOUTHERN IBARAKI PREF  A
18/01/2020,15:53:33.59,0.17,41.092,0.26,139.218,0.87,17,,1.4v,W OFF AOMORI PREF  A
18/01/2020,16:03:37.97,0.04,34.913,0.1,135.602,0.12,10,0.6,0.7V,KYOTO OSAKA BORDER REG  A
18/01/2020,16:05:27.61,0.12,34.22,0.34,135.619,0.38,61.5,1,1.5V,NE WAKAYAMA PREF  A
